node	occurrences	viFiles	commonestInputs	commonestOutputs
Matrix Size	7	6	number of rows	number of columns | matrix
Split Number	7	2	x	hi(x) | lo(x)
Open Python Session	7	7	python version | python path | error in (no error)	session out | error out
Decimal String To Number	7	6	string | offset | default (0L)	offset past number | number
Quit LabVIEW	6	6	quit? (T)	
Get Variant Attribute	6	3	Variant | name | default value (empty Variant) | error in	duplicate Variant | names | values | error out
Get Date/Time String	6	6	date format (0) | seconds (now) | want seconds? (F)	date string | time string
UDP Close	6	6	connection ID | error in (no error)	connection ID out | error out
Array Split / Replace Subarrays	6	2	array | split length	element | element
Natural Logarithm	6	6	x	ln(x)
Complex To Polar	6	5	r * e^(i*theta)	r | theta
Call MATLAB Function	6	4	session in | source file path | error in (no error) | return type | input parameter | input parameter	session out | error out | return value | value | value
Swap Values	5	5	y | ?(T) | x	y' | x'
Cluster To Array	5	4	cluster	array
Split 1D Array	5	5	array | index	first subarray | second subarray
Scan From String	5	4	input string | initial scan location | error in | default value 1 | format string	remaining string | offset past scan | error out | output 1
Flatten To JSON	5	5	anything | error in (no error) | enable LabVIEW extensions? (T)	JSON string | error out
DataSocket Open	5	4	URL | mode | ms timeout (10000) | error in (no error)	connection id | error out
DataSocket Read	5	4	connection in | type (Variant) | ms timeout (10000) | error in (no error) | wait for updated value (T)	status | quality | timestamp | connection out | data | timed out | error out
DataSocket Close	5	4	connection id | ms timeout (0) | error in (no error)	timed out | error out
Delete Menu Items	5	3	menu reference | menu tag | items | error in (no error)	menu reference out | error out
Get File Size	5	2	file | error in	refnum out | size (in bytes) | error out
Read from Binary File	5	2	file (use dialog) | count | byte order (0\3Abig-endian\2C network order) | error in | prompt (Open existing file) | data type	refnum out | data | cancelled | error out
TDMS Configure Asynchronous Writes	5	5	tdms file | max asynchronous writes (4) | error in (no error) | pre-allocate? (F) | max write size | data type | timeout (5 s)	tdms file out | error out
TDMS Advanced Asynchronous Write	5	5	tdms file | data | error in (no error)	tdms file out | error out
Unflatten From XML	5	2	xml string | type | error in (no error)	value | error out
Power Of X	5	4	y | x	x^y
Power Of 2	5	5	x	2^x
IP To String	4	4	net address | dot notation? (F)	name
Scan String For Tokens	4	3	input string | offset | operators (none) | delimiters (\\s\2C\\t\2C\\r\2C\\n) | allow empty tokens? (F) | use cached delim/oper data? (F)	string out | offset past token | token string | token index
Flush Queue	4	4	queue | error in (no error)	queue out | remaining elements | error out
Set Variant Attribute	4	4	Variant | name | value | error in	Variant out | replaced | error out
TCP Wait On Listener	4	4	listener ID in | resolve remote address (T) | timeout ms (wait forever\3A -1) | error in (no error)	connection ID | listener ID out | remote address | remote port | error out
TCP Create Listener	4	4	service name | port | timeout ms (25000) | error in (no error) | net address	listener ID | port | error out
Less Or Equal To 0?	4	4	x	x <= 0?
Write Single Element to Stream	4	2	endpoint in | data in | timeout ms (-1) | error in (no error)	endpoint out | timed out? | error out
Destroy Stream Endpoint	4	2	endpoint in | error in (no error)	error out
Flush Stream	4	2	endpoint in | wait condition | timeout in ms (-1) | error in (no error)	endpoint out | timed out? | error out
UDP Open	4	4	port | service name | timeout ms (25000) | error in (no error) | net address	connection ID | port | error out
UDP Read	4	4	connection ID | max size (548) | timeout ms (25000) | error in (no error)	address | port | connection ID out | data out | error out
UDP Write	4	4	connection ID | data in | timeout ms (25000) | error in (no error) | address | port or service name	connection ID out | error out
Round Toward +Infinity	4	4	x	ceil(x)\3A smallest int >= x
TDMS Reserve File Size	4	4	tdms file | reserve size | error in (no error) | append? (T) | data type	tdms file out | error out
TDMS Configure Asynchronous Reads	4	4	tdms file | number of buffers (4) | buffer size | error in (no error) | data type | timeout (5 s)	tdms file out | error out
TDMS Start Asynchronous Reads	4	4	tdms file | total count (-1) | error in (no error) | data type	tdms file out | error out
TDMS Advanced Asynchronous Read	4	4	tdms file | error in (no error) | data type	read process finished? | tdms file out | data | error out
TDMS In Memory Open	4	3	byte array or file path | error in (no error)	tdms file out | error out
TDMS In Memory Close	4	3	tdms file | error in (no error) | file path | overwrite (F)	error out
Polar To Complex	4	3	r | theta	r * e^(i*theta)
Open MATLAB Session	4	4	release name | error in (no error)	session out | error out
Set Waveform Attribute	4	3	waveform | name | value | error in	waveform out | replaced | error out
Variant Attribute Get / Replace	4	2	variant | attribute name	attribute | found?
Variant To / From Element	4	2	Variant | type	data | error out
Waveform Unbundle / Bundle Elements	4	2	waveform	output waveform
VI Library	3	2		path
Wait On Asynchronous Call	3	3	reference | error in (no error)	reference out | error out | X + Y
Temporary Directory	3	3		path
Create Folder	3	3	path (use dialog) | error in | prompt (Create Folder)	created path | cancelled | error out
